operation,grp,code,name
NHJ73,NHJ,NHJ73,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, båda malleolerna och bakre tibiakanten"
NHJ74,NHJ,NHJ74,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, talus"
NHJ75,NHJ,NHJ75,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, kalkaneus"
NHJ76,NHJ,NHJ76,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, annat tarsalben"
NHJ77,NHJ,NHJ77,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, metatarsalben"
NHJ78,NHJ,NHJ78,"Osteosyntes av fraktur på fotled eller fot med skruvar enbart, tå"
NHJ79,NHJ,NHJ79,Osteosyntes av fotledsfraktur med skruvar enbart
NHJ80,NHJ,NHJ80,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, laterala malleolen"
NHJ81,NHJ,NHJ81,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, mediala malleolen"
NHJ82,NHJ,NHJ82,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, båda malleolerna"
NHJ83,NHJ,NHJ83,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, båda malleolerna och bakre tibiakanten"
NHJ84,NHJ,NHJ84,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, talus"
NHJ85,NHJ,NHJ85,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, kalkaneus"
NHJ86,NHJ,NHJ86,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, annat tarsalben"
NHJ87,NHJ,NHJ87,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, metatarsalben"
NHJ88,NHJ,NHJ88,"Osteosyntes av fraktur på fotled eller fot med annan eller kombinerad metod, tå"
NHJ89,NHJ,NHJ89,Osteosyntes av fotledsfraktur med annan eller kombinerad metod
NHJ90,NHJ,NHJ90,"Annan operation vid fraktur på fotled eller fot, laterala malleolen"
NHJ91,NHJ,NHJ91,"Annan operation vid fraktur på fotled eller fot, mediala malleolen"
NHJ92,NHJ,NHJ92,"Annan operation vid fraktur på fotled eller fot, båda malleolerna"
NHJ93,NHJ,NHJ93,"Annan operation vid fraktur på fotled eller fot, båda malleolerna och bakre tibiakanten"
NHJ94,NHJ,NHJ94,"Annan operation vid fraktur på fotled eller fot, talus"
NHJ95,NHJ,NHJ95,"Annan operation vid fraktur på fotled eller fot, kalkaneus"
NHJ96,NHJ,NHJ96,"Annan operation vid fraktur på fotled eller fot, annat tarsalben"
NHJ97,NHJ,NHJ97,"Annan operation vid fraktur på fotled eller fot, metatarsalben"
NHJ98,NHJ,NHJ98,"Annan operation vid fraktur på fotled eller fot, tå"
NHJ99,NHJ,NHJ99,Annan operation vid fraktur på fotled eller fot
NHK,NH,NHK,Operationer på ben i fotleder och fötter
NHK00,NHK,NHK00,"Excision av benfragment av fotled eller fot, laterala malleolen"
NHK01,NHK,NHK01,"Excision av benfragment av fotled eller fot, mediala malleolen"
NHK02,NHK,NHK02,"Excision av benfragment av fotled eller fot, båda malleolerna"
NHK03,NHK,NHK03,"Excision av benfragment av fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK04,NHK,NHK04,"Excision av benfragment av fotled eller fot, talus"
NHK05,NHK,NHK05,"Excision av benfragment av fotled eller fot, kalkaneus"
NHK06,NHK,NHK06,"Excision av benfragment av fotled eller fot, annat tarsalben"
NHK07,NHK,NHK07,"Excision av benfragment av fotled eller fot, metatarsalben"
NHK08,NHK,NHK08,"Excision av benfragment av fotled eller fot, tå"
NHK10,NHK,NHK10,"Partiell eller total excision av ben i fotled eller fot, laterala malleolen"
NHK11,NHK,NHK11,"Partiell eller total excision av ben i fotled eller fot, mediala malleolen"
NHK12,NHK,NHK12,"Partiell eller total excision av ben i fotled eller fot, båda malleolerna"
NHK13,NHK,NHK13,"Partiell eller total excision av ben i fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK14,NHK,NHK14,"Partiell eller total excision av ben i fotled eller fot, talus"
NHK15,NHK,NHK15,"Partiell eller total excision av ben i fotled eller fot, kalkaneus"
NHK16,NHK,NHK16,"Partiell eller total excision av ben i fotled eller fot, annat tarsalben"
NHK17,NHK,NHK17,"Partiell eller total excision av ben i fotled eller fot, metatarsalben"
NHK18,NHK,NHK18,"Partiell eller total excision av ben i fotled eller fot, tå"
NHK20,NHK,NHK20,"Fenestrering av ben i fotled eller fot, laterala malleolen"
NHK21,NHK,NHK21,"Fenestrering av ben i fotled eller fot, mediala malleolen"
NHK22,NHK,NHK22,"Fenestrering av ben i fotled eller fot, båda malleolerna"
NHK23,NHK,NHK23,"Fenestrering av ben i fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK24,NHK,NHK24,"Fenestrering av ben i fotled eller fot, talus"
NHK25,NHK,NHK25,"Fenestrering av ben i fotled eller fot, kalkaneus"
NHK26,NHK,NHK26,"Fenestrering av ben i fotled eller fot, annat tarsalben"
NHK27,NHK,NHK27,"Fenestrering av ben i fotled eller fot, metatarsalben"
NHK28,NHK,NHK28,"Fenestrering av ben i fotled eller fot, tå"
NHK30,NHK,NHK30,"Curettage av bencysta i fotled eller fot, laterala malleolen"
NHK31,NHK,NHK31,"Curettage av bencysta i fotled eller fot, mediala malleolen"
NHK32,NHK,NHK32,"Curettage av bencysta i fotled eller fot, båda malleolerna"
NHK33,NHK,NHK33,"Curettage av bencysta i fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK34,NHK,NHK34,"Curettage av bencysta i fotled eller fot, talus"
NHK35,NHK,NHK35,"Curettage av bencysta i fotled eller fot, kalkaneus"
NHK36,NHK,NHK36,"Curettage av bencysta i fotled eller fot, annat tarsalben"
NHK37,NHK,NHK37,"Curettage av bencysta i fotled eller fot, metatarsalben"
NHK38,NHK,NHK38,"Curettage av bencysta i fotled eller fot, tå"
NHK40,NHK,NHK40,"Epifyseodes av fotled eller fot, laterala malleolen"
NHK41,NHK,NHK41,"Epifyseodes av fotled eller fot, mediala malleolen"
NHK42,NHK,NHK42,"Epifyseodes av fotled eller fot, båda malleolerna"
NHK43,NHK,NHK43,"Epifyseodes av fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK44,NHK,NHK44,"Epifyseodes av fotled eller fot, talus"
NHK45,NHK,NHK45,"Epifyseodes av fotled eller fot, kalkaneus"
NHK46,NHK,NHK46,"Epifyseodes av fotled eller fot, annat tarsalben"
NHK47,NHK,NHK47,"Epifyseodes av fotled eller fot, metatarsalben"
NHK48,NHK,NHK48,"Epifyseodes av fotled eller fot, tå"
NHK50,NHK,NHK50,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, laterala malleolen"
NHK51,NHK,NHK51,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, mediala malleolen"
NHK52,NHK,NHK52,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, båda malleolerna"
NHK53,NHK,NHK53,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK54,NHK,NHK54,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, talus"
NHK55,NHK,NHK55,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, kalkaneus"
NHK56,NHK,NHK56,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, annat tarsalben"
NHK57,NHK,NHK57,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, metatarsalben"
NHK58,NHK,NHK58,"Vinklings-, rotations- eller förskjutningsosteotomi på fotled eller fot, tå"
NHK60,NHK,NHK60,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, laterala malleolen"
NHK61,NHK,NHK61,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, mediala malleolen"
NHK62,NHK,NHK62,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, båda malleolerna"
NHK63,NHK,NHK63,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK64,NHK,NHK64,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, talus"
NHK65,NHK,NHK65,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, kalkaneus"
NHK66,NHK,NHK66,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, annat tarsalben"
NHK67,NHK,NHK67,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, metatarsalben"
NHK68,NHK,NHK68,"Förkortnings- eller förlängningsosteotomi på fotled eller fot, tå"
NHK70,NHK,NHK70,"Bentransportoperation på fotled eller fot, laterala malleolen"
NHK71,NHK,NHK71,"Bentransportoperation på fotled eller fot, mediala malleolen"
NHK72,NHK,NHK72,"Bentransportoperation på fotled eller fot, båda malleolerna"
NHK73,NHK,NHK73,"Bentransportoperation på fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK74,NHK,NHK74,"Bentransportoperation på fotled eller fot, talus"
NHK75,NHK,NHK75,"Bentransportoperation på fotled eller fot, kalkaneus"
NHK76,NHK,NHK76,"Bentransportoperation på fotled eller fot, annat tarsalben"
NHK77,NHK,NHK77,"Bentransportoperation på fotled eller fot, metatarsalben"
NHK78,NHK,NHK78,"Bentransportoperation på fotled eller fot, tå"
NHK80,NHK,NHK80,"Epifysdistraktion på fotled eller fot, laterala malleolen"
NHK81,NHK,NHK81,"Epifysdistraktion på fotled eller fot, mediala malleolen"
NHK82,NHK,NHK82,"Epifysdistraktion på fotled eller fot, båda malleolerna"
NHK83,NHK,NHK83,"Epifysdistraktion på fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK84,NHK,NHK84,"Epifysdistraktion på fotled eller fot, talus"
NHK85,NHK,NHK85,"Epifysdistraktion på fotled eller fot, kalkaneus"
NHK86,NHK,NHK86,"Epifysdistraktion på fotled eller fot, annat tarsalben"
NHK87,NHK,NHK87,"Epifysdistraktion på fotled eller fot, metatarsalben"
NHK88,NHK,NHK88,"Epifysdistraktion på fotled eller fot, tå"
NHK90,NHK,NHK90,"Annan operation på ben i fotled eller fot, laterala malleolen"
NHK91,NHK,NHK91,"Annan operation på ben i fotled eller fot, mediala malleolen"
NHK92,NHK,NHK92,"Annan operation på ben i fotled eller fot, båda malleolerna"
NHK93,NHK,NHK93,"Annan operation på ben i fotled eller fot, båda malleolerna och bakre tibiakanten"
NHK94,NHK,NHK94,"Annan operation på ben i fotled eller fot, talus"
NHK95,NHK,NHK95,"Annan operation på ben i fotled eller fot, kalkaneus"
NHK96,NHK,NHK96,"Annan operation på ben i fotled eller fot, annat tarsalben"
NHK97,NHK,NHK97,"Annan operation på ben i fotled eller fot, metatarsalben"
NHK98,NHK,NHK98,"Annan operation på ben i fotled eller fot, tå"
NHL,NH,NHL,Operationer på muskler och senor av fotleder och fötter
NHL09,NHL,NHL09,Friläggning av muskel i fotled eller fot
NHL19,NHL,NHL19,Sutur eller rekonstruktion av muskel i fotled eller fot
NHL29,NHL,NHL29,Transposition av muskel i fotled eller fot
NHL39,NHL,NHL39,Myotomi eller tenotomi i fotled eller fot
NHL49,NHL,NHL49,Sutur eller reinsertion av sena i fotled eller fot
NHL59,NHL,NHL59,Tenolys eller tenosynovektomi i fotled eller fot
NHL69,NHL,NHL69,"Tenodes, förkortning eller förlängning av sena i fotled eller fot"
NHL79,NHL,NHL79,Excision av muskel eller sena i fotled eller fot
NHL89,NHL,NHL89,Transposition av sena i fotled eller fot
NHL99,NHL,NHL99,Annan operation på muskel eller sena i fotled eller fot
NHM,NH,NHM,"Operationer på fascior, senskidor och bursor i fotleder och fötter"
NHM09,NHM,NHM09,Fasciotomi på fotled eller fot
NHM19,NHM,NHM19,Partiell eller total excision av fascia i fotled eller fot
NHM29,NHM,NHM29,Sutur av fascia eller senskida i fotled eller fot
NHM39,NHM,NHM39,Excision av ganglion i fotled eller fot
NHM49,NHM,NHM49,Klyvning av senskida i fotled eller fot
NHM59,NHM,NHM59,Partiell excision av senskida i fotled eller fot
NHM79,NHM,NHM79,Excision av bursa i fotled eller fot
NHM99,NHM,NHM99,"Annan operation på fascia, senskida eller bursa i fotled eller fot"
NHN,NH,NHN,Transplantationer till fotleder och fötter
NHN09,NHN,NHN09,Autotransplantation av ben till fotled eller fot
NHN19,NHN,NHN19,Homotransplantation av ben till fotled eller fot
NHN29,NHN,NHN29,Heterotransplantation av ben till fotled eller fot
NHN39,NHN,NHN39,Transplantation av sena till fotled eller fot
NHN49,NHN,NHN49,"Transplantation av brosk, periost eller fascia till fotled eller fot"
NHN99,NHN,NHN99,Annan transplantation till fotled eller fot
NHP,NH,NHP,Replantationer och autotransplantationer i fotleder och fötter
NHP09,NHP,NHP09,Replantation av tå
NHP19,NHP,NHP19,Autotransplantation eller transposition av tå
NHP29,NHP,NHP29,Replantation av fot
NHP99,NHP,NHP99,Annan replantation i fotled eller fot
NHQ,NH,NHQ,Amputationer och relaterade operationer på fotleder och fötter
NHQ09,NHQ,NHQ09,Exartikulation i talokruralled
NHQ11,NHQ,NHQ11,Talokrural amputation
NHQ12,NHQ,NHQ12,Transtarsal amputation
NHQ13,NHQ,NHQ13,Tarsometatarsal amputation
NHQ14,NHQ,NHQ14,Transmetatarsal amputation
NHQ16,NHQ,NHQ16,Total amputation av tå
NHQ17,NHQ,NHQ17,Partiell amputation av tå
NHQ29,NHQ,NHQ29,Revision av amputations- eller exartikulationsstump
NHQ99,NHQ,NHQ99,Annan amputation eller relaterad operation på fotled eller fot
NHR,NH,NHR,Operationer för tumör i fotleder och fötter
NHR09,NHR,NHR09,Intralesionell excision av mjukdelstumör i fotled eller fot
NHR19,NHR,NHR19,Marginell excision av mjukdelstumör i fotled eller fot
NHR29,NHR,NHR29,Vid excision av mjukdelstumör i fotled eller fot
NHR39,NHR,NHR39,Kompartmentell excision av mjukdelstumör i fotled eller fot
NHR49,NHR,NHR49,Intralesionell excision av ben- eller brosktumör i fotled eller fot
NHR59,NHR,NHR59,Marginell excision av ben- eller brosktumör i fotled eller fot
NHR69,NHR,NHR69,Vid excision av ben- eller brosktumör i fotled eller fot
NHR79,NHR,NHR79,Kompartmentell excision av ben- eller brosktumör i fotled eller fot
NHR99,NHR,NHR99,Annan operation för tumör i fotled eller fot
NHS,NH,NHS,Operationer vid infektion i fotleder och fötter
NHS09,NHS,NHS09,Incision och debridering vid mjukdelsinfektion i fotled eller fot
NHS19,NHS,NHS19,Incision och debridering vid septisk artrit i fotled eller fot
NHS29,NHS,NHS29,Incision och debridering vid osteit i fot
NHS39,NHS,NHS39,Incision och debridering vid mjukdelsinfektion i fotled eller fot med implantation av läkemedel
NHS49,NHS,NHS49,Incision och debridering vid septisk artrit i fotled eller fot med implantation av läkemedel
NHS59,NHS,NHS59,Incision och debridering vid osteit i fot med implantation av läkemedel
NHS99,NHS,NHS99,Annan operation vid infektion i fotled eller fot
NHT,NH,NHT,Diverse operationer på fotleder och fötter
NHT09,NHT,NHT09,Avlägsnande av främmande material från vävnad i fotled eller fot
NHT19,NHT,NHT19,Mobilisering av fotens leder
NHT39,NHT,NHT39,"Korrektion av deformitet i fotled eller fot med användande av muskel, sena eller ligament"
NHT49,NHT,NHT49,Korrektion av deformitet i fotled eller fot med användande av extern eller intern fixation
NHT99,NHT,NHT99,Annan operation på fotled eller fot
NHU,NH,NHU,Extraktion av implantat och externt fixationsmaterial från fotleder och fötter
NHU09,NHU,NHU09,Extraktion av del- eller halvprotes från fotled
NHU19,NHU,NHU19,Extraktion av totalprotes från fotled
NHU29,NHU,NHU29,Extraktion av protes från annan led i fot
NHU39,NHU,NHU39,Extraktion av externt fixationsmaterial från fotled eller fot
NHU49,NHU,NHU49,Extraktion av internt fixationsmaterial från fotled eller fot
NHU69,NHU,NHU69,Extraktion av ligamentprotes från fotled eller fot
NHU89,NHU,NHU89,Extraktion av implantat för infektionsbehandling från fotled eller fot
NHU99,NHU,NHU99,Extraktion av annat implantat från fotled eller fot
NHW,NH,NHW,Reoperationer på fotleder och fötter
NHW49,NHW,NHW49,Sutur av sårruptur i fotled eller fot
NHW59,NHW,NHW59,Reoperation för ytlig infektion i fotled eller fot
NHW69,NHW,NHW69,Reoperation för djup infektion i fotled eller fot
NHW79,NHW,NHW79,Reoperation för ytlig blödning i fotled eller fot
NHW89,NHW,NHW89,Reoperation för djup blödning i fotled eller fot
NHW99,NHW,NHW99,Annan reoperation på fotled eller fot
NX,N,NX,Operationer på andra angivna regioner av muskuloskeletala systemet
NXL,NX,NXL,Operationer på muskler och senor på andra angivna regioner av muskuloskeletala systemet
NXL00,NXL,NXL00,Muskelbiopsi
NXW,NX,NXW,Reoperationer på andra angivna regioner av muskuloskeletala systemet
NXW49,NXW,NXW49,Reoperation av sårruptur av annan angiven region av muskuloskeletala systemet
NXW59,NXW,NXW59,Reoperation för ytlig infektion i annan angiven region av muskuloskeletala systemet
NXW69,NXW,NXW69,Reoperation för djup infektion i annan angiven region av muskuloskeletala systemet
NXW79,NXW,NXW79,Reoperation för ytlig blödning i annan angiven region av muskuloskeletala systemet
NXW89,NXW,NXW89,Reoperation för djup blödning i annan angiven region av muskuloskeletala systemet
NXW99,NXW,NXW99,Annan reoperation på annan angiven region av muskuloskeletala systemet
P,,P,Operationer på perifera kärl och lymfsystemet
PA,P,PA,Operationer på artärer avgående från aortabågen och dess grenar
PAA,PA,PAA,Exploration av artärer avgående från aortabågen och dess grenar
PAA10,PAA,PAA10,Exploration av truncus brachiocephalicus
PAA20,PAA,PAA20,Exploration av a. carotis communis
PAA21,PAA,PAA21,Exploration av a. carotis interna
PAA30,PAA,PAA30,Exploration av a. subclavia
PAA99,PAA,PAA99,Exploration av annan artär avgående från aortabågen eller dess grenar
PAB,PA,PAB,Ligatur av artärer avgående från aortabågen och dess grenar
PAB10,PAB,PAB10,Ligatur av truncus brachiocephalicus
PAB20,PAB,PAB20,Ligatur av a. carotis communis
PAB21,PAB,PAB21,Ligatur av a. carotis interna
PAB22,PAB,PAB22,Ligatur av a. carotis externa
PAB30,PAB,PAB30,Ligatur av a. subclavia
PAB40,PAB,PAB40,Ligatur av a. vertebralis
PAB99,PAB,PAB99,Ligatur av annan artär avgående från aortabågen eller dess grenar
PAC,PA,PAC,Sutur av artärer avgående från aortabågen och dess grenar
PAC10,PAC,PAC10,Sutur av truncus brachiocephalicus
PAC20,PAC,PAC20,Sutur av a. carotis communis
PAC21,PAC,PAC21,Sutur av a. carotis interna
PAC30,PAC,PAC30,Sutur av a. subclavia
PAC99,PAC,PAC99,Sutur av annan artär avgående från aortabågen eller dess grenar
PAE,PA,PAE,Trombektomi/embolektomi i artärer avgående från aortabågen och dess grenar
PAE10,PAE,PAE10,Trombektomi eller embolektomi i truncus brachiocephalicus
PAE25,PAE,PAE25,Trombektomi eller embolektomi i a. carotis
PAE30,PAE,PAE30,Trombektomi eller embolektomi i a. subclavia
PAE99,PAE,PAE99,Trombektomi eller embolektomi i annan artär avgående från aortabågen eller dess grenar
PAF,PA,PAF,Trombendartärektomi i artärer avgående från aortabågen och dess grenar
PAF10,PAF,PAF10,Trombendartärektomi i truncus brachiocephalicus
PAF20,PAF,PAF20,Trombendartärektomi i a. carotis communis
PAF21,PAF,PAF21,Trombendartärektomi i a. carotis interna
PAF22,PAF,PAF22,Trombendartärektomi i a. carotis externa
PAF30,PAF,PAF30,Trombendartärektomi i a. subclavia
PAF40,PAF,PAF40,Trombendartärektomi i a. vertebralis
PAF99,PAF,PAF99,Trombendartärektomi i annan artär avgående från aortabågen eller dess grenar
PAG,PA,PAG,Aneurysmoperation på artärer avgående från aortabågen och dess grenar
PAG10,PAG,PAG10,Aneurysmoperation på truncus brachiocephalicus
PAG20,PAG,PAG20,Aneurysmoperation på a. carotis communis
PAG21,PAG,PAG21,Aneurysmoperation på a. carotis interna
PAG30,PAG,PAG30,Aneurysmoperation på a. subclavia
PAG99,PAG,PAG99,Aneurysmoperation på annan artär avgående från aortabågen eller dess grenar
PAH,PA,PAH,Bypass-operationer från artärer avgående från aortabågen och dess grenar
PAH10,PAH,PAH10,Bypass från truncus brachiocephalicus
PAH20,PAH,PAH20,Bypass från a. carotis communis
PAH21,PAH,PAH21,Bypass från a. carotis interna
PAH25,PAH,PAH25,Bypass från a. carotis till a. subclavia
PAH30,PAH,PAH30,Bypass från a. subclavia
PAH99,PAH,PAH99,Bypass från annan artär avgående från aortabågen eller dess grenar
PAJ,PA,PAJ,Transposition av artärer avgående från aortabågen och dess grenar
PAJ30,PAJ,PAJ30,Transposition av a. subclavia
PAJ40,PAJ,PAJ40,Transposition av a. vertebralis
PAJ99,PAJ,PAJ99,Transposition av annan artär avgående från aortabågen eller dess grenar
PAK,PA,PAK,Reimplantation av artärer avgående från aortabågen och dess grenar
PAK10,PAK,PAK10,Reimplantation av truncus brachiocephalicus
PAK20,PAK,PAK20,Reimplantation av a. carotis communis
PAK21,PAK,PAK21,Reimplantation av a. carotis interna
PAK30,PAK,PAK30,Reimplantation av a. subclavia
PAK40,PAK,PAK40,Reimplantation av a. vertebralis
PAK99,PAK,PAK99,Reimplantation av annan artär avgående från aortabågen eller dess grenar
PAM,PA,PAM,Slutning av fistel från artärer avgående från aortabågen och dess grenar
PAM21,PAM,PAM21,Slutning av fistel från a. carotis interna
PAM22,PAM,PAM22,Slutning av fistel från a. carotis externa
PAM30,PAM,PAM30,Slutning av fistel från a. subclavia
PAM99,PAM,PAM99,Slutning av annan fistel från artär avgående från aortabågen eller dess grenar
PAN,PA,PAN,Plastik på artärer avgående från aortabågen och dess grenar
PAN10,PAN,PAN10,Plastik på truncus brachiocephalicus
PAN20,PAN,PAN20,Plastik på a. carotis communis
PAN21,PAN,PAN21,Plastik på a. carotis interna
PAN30,PAN,PAN30,Plastik på a. subclavia
PAN40,PAN,PAN40,Plastik på a. vertebralis
PAN99,PAN,PAN99,Plastik på annan artär avgående från aortabågen eller dess grenar
PAP,PA,PAP,Perkutan plastik på artärer avgående från aortabågen och dess grenar
PAP10,PAP,PAP10,Perkutan plastik på truncus brachiocephalicus
PAP20,PAP,PAP20,Perkutan plastik på a. carotis communis
PAP21,PAP,PAP21,Perkutan plastik på a. carotis interna
PAP30,PAP,PAP30,Perkutan plastik på a. subclavia
PAP99,PAP,PAP99,Perkutan plastik på annan artär avgående från aortabågen eller dess grenar
PAQ,PA,PAQ,Inläggande av stent i artärer avgående från aortabågen och dess grenar
PAQ10,PAQ,PAQ10,Inläggande av stent i truncus brachiocephalicus
PAQ20,PAQ,PAQ20,Inläggande av stent i a. carotis communis
PAQ21,PAQ,PAQ21,Inläggande av stent i a. carotis interna
PAQ30,PAQ,PAQ30,Inläggande av stent i a. subclavia
PAQ99,PAQ,PAQ99,Inläggande av stent i annan artär avgående från aortabågen eller dess grenar
PAR,PA,PAR,Uttagning av stent från artärer avgående från aortabågen och dess grenar
PAR10,PAR,PAR10,Uttagning av stent från truncus brachiocephalicus
PAR20,PAR,PAR20,Uttagning av stent från a. carotis communis
PAR21,PAR,PAR21,Uttagning av stent från a. carotis interna
PAR30,PAR,PAR30,Uttagning av stent från a. subclavia
PAR99,PAR,PAR99,Uttagning av stent från annan artär avgående från aortabågen eller dess grenar
PAT,PA,PAT,Injektion av läkemedel i eller perkutan ocklusion av artärer avgående från aortabågen och dess grenar
PAT30,PAT,PAT30,Injektion av läkemedel i eller perkutan ocklusion av a. subclavia
PAT99,PAT,PAT99,Injektion av läkemedel i eller perkutan ocklusion av annan artär avgående från aortabågen eller dess grenar
PAU,PA,PAU,Operation inom tidigare rekonstruktion på artärer avgående från aortabågen och dess grenar
PAU70,PAU,PAU70,Exploration av tidigare rekonstruktion på artärer avgående från aortabågen eller dess grenar
PAU74,PAU,PAU74,"Trombektomi eller embolektomi i bypass från a. carotis, a. subclavia eller a. axillaris"
PAU80,PAU,PAU80,"Perkutan slutning av kvarstående a-v fistel i bypass från a. carotis, a. subclavia eller a. axillaris"
PAU81,PAU,PAU81,"Slutning av kvarstående a-v fistel i bypass från a. carotis, a. subclavia eller a. axillaris"
PAU88,PAU,PAU88,"Exstirpation av bypass från a. carotis, a. subclavia eller a. axillaris"
PAU99,PAU,PAU99,Annan operation inom tidigare rekonstruktion på artärer avgående från aortabågen eller dess grenar
PAW,PA,PAW,Andra operationer på artärer avgående från aortabågen och dess grenar
PAW23,PAW,PAW23,Temporalisbiopsi
PAW99,PAW,PAW99,Annan operation på artärer avgående från aortabågen eller dess grenar
PB,P,PB,Operationer på artärer i övre extremiteter
PBA,PB,PBA,Exploration av artärer i övre extremiteter
PBA10,PBA,PBA10,Exploration av a. axillaris
PBA20,PBA,PBA20,Exploration av a. brachialis
PBA30,PBA,PBA30,Exploration av a. radialis eller a. ulnaris
PBA99,PBA,PBA99,Exploration av annan artär i övre extremitet
PBB,PB,PBB,Ligatur av artärer i övre extremiteter
PBB10,PBB,PBB10,Ligatur av a. axillaris
PBB20,PBB,PBB20,Ligatur av a. brachialis
PBB30,PBB,PBB30,Ligatur av a. radialis eller a. ulnaris
PBB99,PBB,PBB99,Ligatur av annan artär i övre extremitet
PBC,PB,PBC,Sutur av artärer i övre extremiteter
PBC10,PBC,PBC10,Sutur av a. axillaris
PBC20,PBC,PBC20,Sutur av a. brachialis
PBC30,PBC,PBC30,Sutur av a. radialis eller a. ulnaris
PBC99,PBC,PBC99,Sutur av annan artär i övre extremitet
PBE,PB,PBE,Trombektomi eller embolektomi i artärer i övre extremiteter
PBE10,PBE,PBE10,Trombektomi eller embolektomi i a. axillaris
PBE20,PBE,PBE20,Trombektomi eller embolektomi i a. brachialis
PBE30,PBE,PBE30,Trombektomi eller embolektomi i a. radialis eller a. ulnaris
PBE99,PBE,PBE99,Trombektomi eller embolektomi i annan artär i övre extremitet
PBF,PB,PBF,Trombendartärektomi i artärer i övre extremiteter
PBF10,PBF,PBF10,Trombendartärektomi i a. axillaris
PBF20,PBF,PBF20,Trombendartärektomi i a. brachialis
PBF99,PBF,PBF99,Trombendartärektomi i annan artär i övre extremitet
PBG,PB,PBG,Aneurysmoperation på artärer i övre extremiteter
PBG10,PBG,PBG10,Aneurysmoperation på a. axillaris
PBG20,PBG,PBG20,Aneurysmoperation på a. brachialis
PBG99,PBG,PBG99,Aneurysmoperation på annan artär i övre extremitet
PBH,PB,PBH,Bypass-operationer från artärer i övre extremiteter
PBH10,PBH,PBH10,Bypass från a axillaris
PBH20,PBH,PBH20,Bypass från a brachialis
PBH99,PBH,PBH99,Bypass från annan artär i övre extremitet
PBL,PB,PBL,Anläggande av a-v fistel från artärer i övre extremiteter
PBL10,PBL,PBL10,Anläggande av a-v fistel från a. axillaris
PBL20,PBL,PBL20,Anläggande av a-v fistel från a. brachialis
PBL30,PBL,PBL30,Anläggande av a-v fistel från a. radialis eller a. ulnaris
PBL99,PBL,PBL99,Anläggande av a-v fistel från annan artär i övre extremitet
PBM,PB,PBM,Slutning av a-v fistel från artärer i övre extremiteter
PBM10,PBM,PBM10,Slutning av a-v fistel från a. axillaris
PBM20,PBM,PBM20,Slutning av a-v fistel från a. brachialis
PBM30,PBM,PBM30,Slutning av a-v fistel från a. radialis eller a. ulnaris
PBM99,PBM,PBM99,Slutning av a-v fistel från annan artär i övre extremitet
PBN,PB,PBN,Plastik på artärer i övre extremiteter
PBN10,PBN,PBN10,Plastik på a. axillaris
PBN20,PBN,PBN20,Plastik på a. brachialis
PBN99,PBN,PBN99,Plastik på annan artär i övre extremitet
PBP,PB,PBP,Perkutan plastik på artärer i övre extremiteter
PBP10,PBP,PBP10,Perkutan plastik på a. axillaris
PBP20,PBP,PBP20,Perkutan plastik på a. brachialis
PBP99,PBP,PBP99,Perkutan plastik på annan artär i övre extremitet
PBQ,PB,PBQ,Inläggande av stent i artärer i övre extremiteter
